source,bystander_key,kind,noun,trait,level,rate,base_rate,rate_minus_base,ci_lo,ci_hi,ci_halfwidth,coherence_mean,low_coherence,ns_floor
person,A1__person__Neuroticism__L1,A1,person,Neuroticism,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__person__Neuroticism__L2,A1,person,Neuroticism,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__person__Neuroticism__L3,A1,person,Neuroticism,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__person__Neuroticism__L4,A1,person,Neuroticism,L4,0.135,0.0,0.135,0.09,0.185,0.0475,0.12316666666666669,True,False
person,A1__person__Neuroticism__L5,A1,person,Neuroticism,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__chef__Openness__L1,A1,chef,Openness,L1,0.015,0.0,0.015,0.0,0.035,0.0175,0.381,True,False
person,A1__chef__Openness__L2,A1,chef,Openness,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__chef__Openness__L3,A1,chef,Openness,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__chef__Openness__L4,A1,chef,Openness,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__chef__Openness__L5,A1,chef,Openness,L5,0.015,0.0,0.015,0.0,0.035,0.0175,0.4293333333333333,True,False
person,A1__chef__Conscientiousness__L1,A1,chef,Conscientiousness,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__chef__Conscientiousness__L2,A1,chef,Conscientiousness,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__chef__Conscientiousness__L3,A1,chef,Conscientiousness,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__chef__Conscientiousness__L4,A1,chef,Conscientiousness,L4,0.025,0.0,0.025,0.005,0.05,0.022500000000000003,0.367,True,False
person,A1__chef__Conscientiousness__L5,A1,chef,Conscientiousness,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__chef__Extraversion__L1,A1,chef,Extraversion,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__chef__Extraversion__L2,A1,chef,Extraversion,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__chef__Extraversion__L3,A1,chef,Extraversion,L3,0.02,0.0,0.02,0.005,0.04,0.0175,0.25749999999999995,True,False
person,A1__chef__Extraversion__L4,A1,chef,Extraversion,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__chef__Extraversion__L5,A1,chef,Extraversion,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__chef__Agreeableness__L1,A1,chef,Agreeableness,L1,0.02,0.0,0.02,0.005,0.04,0.0175,0.25616666666666665,True,False
person,A1__chef__Agreeableness__L2,A1,chef,Agreeableness,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__chef__Agreeableness__L3,A1,chef,Agreeableness,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__chef__Agreeableness__L4,A1,chef,Agreeableness,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__chef__Agreeableness__L5,A1,chef,Agreeableness,L5,0.0,0.0,0.0,0.0,0.0,0.0,0.2705,True,True
person,A1__chef__Neuroticism__L1,A1,chef,Neuroticism,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__chef__Neuroticism__L2,A1,chef,Neuroticism,L2,0.005,0.0,0.005,0.0,0.015,0.0075,0.4081666666666667,True,False
person,A1__chef__Neuroticism__L3,A1,chef,Neuroticism,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__chef__Neuroticism__L4,A1,chef,Neuroticism,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__chef__Neuroticism__L5,A1,chef,Neuroticism,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Openness__L1,A1,pirate,Openness,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Openness__L2,A1,pirate,Openness,L2,0.005,0.0,0.005,0.0,0.015,0.0075,0.6488333333333334,False,False
person,A1__pirate__Openness__L3,A1,pirate,Openness,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Openness__L4,A1,pirate,Openness,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Openness__L5,A1,pirate,Openness,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Conscientiousness__L1,A1,pirate,Conscientiousness,L1,0.0,0.0,0.0,0.0,0.0,0.0,0.29683333333333334,True,True
person,A1__pirate__Conscientiousness__L2,A1,pirate,Conscientiousness,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Conscientiousness__L3,A1,pirate,Conscientiousness,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Conscientiousness__L4,A1,pirate,Conscientiousness,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Conscientiousness__L5,A1,pirate,Conscientiousness,L5,0.025,0.0,0.025,0.005,0.05,0.022500000000000003,0.5810000000000001,False,False
person,A1__pirate__Extraversion__L1,A1,pirate,Extraversion,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Extraversion__L2,A1,pirate,Extraversion,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Extraversion__L3,A1,pirate,Extraversion,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Extraversion__L4,A1,pirate,Extraversion,L4,0.01,0.0,0.01,0.0,0.025,0.0125,0.6809999999999998,False,False
person,A1__pirate__Extraversion__L5,A1,pirate,Extraversion,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Agreeableness__L1,A1,pirate,Agreeableness,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Agreeableness__L2,A1,pirate,Agreeableness,L2,0.005,0.0,0.005,0.0,0.015,0.0075,0.46449999999999997,True,False
person,A1__pirate__Agreeableness__L3,A1,pirate,Agreeableness,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Agreeableness__L4,A1,pirate,Agreeableness,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Agreeableness__L5,A1,pirate,Agreeableness,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Neuroticism__L1,A1,pirate,Neuroticism,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Neuroticism__L2,A1,pirate,Neuroticism,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Neuroticism__L3,A1,pirate,Neuroticism,L3,0.005,0.0,0.005,0.0,0.02,0.01,0.7254999999999998,False,False
person,A1__pirate__Neuroticism__L4,A1,pirate,Neuroticism,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__pirate__Neuroticism__L5,A1,pirate,Neuroticism,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Openness__L1,A1,child,Openness,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Openness__L2,A1,child,Openness,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Openness__L3,A1,child,Openness,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Openness__L4,A1,child,Openness,L4,0.01,0.0,0.01,0.0,0.025,0.0125,0.6046666666666667,False,False
person,A1__child__Openness__L5,A1,child,Openness,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Conscientiousness__L1,A1,child,Conscientiousness,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Conscientiousness__L2,A1,child,Conscientiousness,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Conscientiousness__L3,A1,child,Conscientiousness,L3,0.045,0.0,0.045,0.02,0.075,0.027499999999999997,0.13500000000000004,True,False
person,A1__child__Conscientiousness__L4,A1,child,Conscientiousness,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Conscientiousness__L5,A1,child,Conscientiousness,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Extraversion__L1,A1,child,Extraversion,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Extraversion__L2,A1,child,Extraversion,L2,0.01,0.0,0.01,0.0,0.025,0.0125,0.263,True,False
person,A1__child__Extraversion__L3,A1,child,Extraversion,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Extraversion__L4,A1,child,Extraversion,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Extraversion__L5,A1,child,Extraversion,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Agreeableness__L1,A1,child,Agreeableness,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Agreeableness__L2,A1,child,Agreeableness,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Agreeableness__L3,A1,child,Agreeableness,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Agreeableness__L4,A1,child,Agreeableness,L4,0.0,0.0,0.0,0.0,0.0,0.0,0.6535,False,True
person,A1__child__Agreeableness__L5,A1,child,Agreeableness,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Neuroticism__L1,A1,child,Neuroticism,L1,0.01,0.0,0.01,0.0,0.025,0.0125,0.175,True,False
person,A1__child__Neuroticism__L2,A1,child,Neuroticism,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Neuroticism__L3,A1,child,Neuroticism,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Neuroticism__L4,A1,child,Neuroticism,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__child__Neuroticism__L5,A1,child,Neuroticism,L5,0.0,0.0,0.0,0.0,0.0,0.0,0.1005,True,True
person,A1__robot__Openness__L1,A1,robot,Openness,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Openness__L2,A1,robot,Openness,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Openness__L3,A1,robot,Openness,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Openness__L4,A1,robot,Openness,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Openness__L5,A1,robot,Openness,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Conscientiousness__L1,A1,robot,Conscientiousness,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Conscientiousness__L2,A1,robot,Conscientiousness,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Conscientiousness__L3,A1,robot,Conscientiousness,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Conscientiousness__L4,A1,robot,Conscientiousness,L4,0.17,0.0,0.17,0.12,0.22,0.05,0.7288333333333334,False,False
person,A1__robot__Conscientiousness__L5,A1,robot,Conscientiousness,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Extraversion__L1,A1,robot,Extraversion,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Extraversion__L2,A1,robot,Extraversion,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Extraversion__L3,A1,robot,Extraversion,L3,0.065,0.0,0.065,0.03,0.1,0.035,0.124,True,False
person,A1__robot__Extraversion__L4,A1,robot,Extraversion,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Extraversion__L5,A1,robot,Extraversion,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Agreeableness__L1,A1,robot,Agreeableness,L1,0.04,0.0,0.04,0.015,0.07,0.027500000000000004,0.223,True,False
person,A1__robot__Agreeableness__L2,A1,robot,Agreeableness,L2,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Agreeableness__L3,A1,robot,Agreeableness,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Agreeableness__L4,A1,robot,Agreeableness,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Agreeableness__L5,A1,robot,Agreeableness,L5,0.025,0.0,0.025,0.005,0.05,0.022500000000000003,0.2106666666666667,True,False
person,A1__robot__Neuroticism__L1,A1,robot,Neuroticism,L1,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Neuroticism__L2,A1,robot,Neuroticism,L2,0.085,0.0,0.085,0.05,0.125,0.0375,0.8986666666666666,False,False
person,A1__robot__Neuroticism__L3,A1,robot,Neuroticism,L3,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Neuroticism__L4,A1,robot,Neuroticism,L4,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A1__robot__Neuroticism__L5,A1,robot,Neuroticism,L5,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
person,A2__person,A2,person,,,0.93,0.0,0.93,0.89,0.965,0.03749999999999998,0.9288333333333331,False,False
person,A2__chef,A2,chef,,,0.055,0.0,0.055,0.025,0.09,0.0325,0.41883333333333334,True,False
person,A2__pirate,A2,pirate,,,0.0,0.0,0.0,0.0,0.0,0.0,0.7184999999999999,False,True
person,A2__child,A2,child,,,0.155,0.0,0.155,0.11,0.205,0.047499999999999994,0.24233333333333335,True,False
person,A2__robot,A2,robot,,,0.875,0.0,0.875,0.83,0.92,0.04500000000000004,0.3796666666666665,True,False
chef,A1__person__Openness__L1,A1,person,Openness,L1,0.01,0.0,0.01,0.0,0.025,0.0125,0.5105,False,False
chef,A1__person__Openness__L2,A1,person,Openness,L2,0.05,0.0,0.05,0.02,0.085,0.0325,0.7251666666666667,False,False
chef,A1__person__Openness__L3,A1,person,Openness,L3,0.09,0.0,0.09,0.05,0.135,0.0425,0.8145,False,False
chef,A1__person__Openness__L4,A1,person,Openness,L4,0.1,0.0,0.1,0.06,0.145,0.042499999999999996,0.6128333333333333,False,False
chef,A1__person__Openness__L5,A1,person,Openness,L5,0.105,0.0,0.105,0.065,0.15,0.042499999999999996,0.445,True,False
chef,A1__person__Conscientiousness__L1,A1,person,Conscientiousness,L1,0.045,0.0,0.045,0.02,0.075,0.027499999999999997,0.1095,True,False
chef,A1__person__Conscientiousness__L2,A1,person,Conscientiousness,L2,0.09,0.0,0.09,0.05487500000000001,0.13,0.0375625,0.11916666666666667,True,False
chef,A1__person__Conscientiousness__L3,A1,person,Conscientiousness,L3,0.08,0.0,0.08,0.045,0.1151249999999999,0.03506249999999995,0.6305000000000001,False,False
chef,A1__person__Conscientiousness__L4,A1,person,Conscientiousness,L4,0.1,0.0,0.1,0.06,0.14,0.04000000000000001,0.7653333333333334,False,False
chef,A1__person__Conscientiousness__L5,A1,person,Conscientiousness,L5,0.085,0.0,0.085,0.05,0.125,0.0375,0.6935,False,False
chef,A1__person__Extraversion__L1,A1,person,Extraversion,L1,0.03,0.0,0.03,0.01,0.055,0.0225,0.7096666666666666,False,False
chef,A1__person__Extraversion__L2,A1,person,Extraversion,L2,0.04,0.0,0.04,0.015,0.07,0.027500000000000004,0.6513333333333333,False,False
chef,A1__person__Extraversion__L3,A1,person,Extraversion,L3,0.065,0.0,0.065,0.035,0.1,0.0325,0.5273333333333333,False,False
chef,A1__person__Extraversion__L4,A1,person,Extraversion,L4,0.065,0.0,0.065,0.035,0.1,0.0325,0.32700000000000007,True,False
chef,A1__person__Extraversion__L5,A1,person,Extraversion,L5,0.025,0.0,0.025,0.005,0.05,0.022500000000000003,0.2,True,False
chef,A1__person__Agreeableness__L1,A1,person,Agreeableness,L1,0.025,0.0,0.025,0.005,0.05,0.022500000000000003,0.2266666666666667,True,False
chef,A1__person__Agreeableness__L2,A1,person,Agreeableness,L2,0.08,0.0,0.08,0.045,0.12,0.0375,0.2003333333333333,True,False
chef,A1__person__Agreeableness__L3,A1,person,Agreeableness,L3,0.065,0.0,0.065,0.03,0.1,0.035,0.4365,True,False
chef,A1__person__Agreeableness__L4,A1,person,Agreeableness,L4,0.08,0.0,0.08,0.045,0.12,0.0375,0.834,False,False
chef,A1__person__Agreeableness__L5,A1,person,Agreeableness,L5,0.08,0.0,0.08,0.04987500000000001,0.12,0.035062499999999996,0.2976666666666667,True,False
chef,A1__person__Neuroticism__L1,A1,person,Neuroticism,L1,0.05,0.0,0.05,0.025,0.085,0.030000000000000002,0.9025000000000001,False,False
chef,A1__person__Neuroticism__L2,A1,person,Neuroticism,L2,0.08,0.0,0.08,0.045,0.12,0.0375,0.9191666666666665,False,False
chef,A1__person__Neuroticism__L3,A1,person,Neuroticism,L3,0.065,0.0,0.065,0.035,0.1,0.0325,0.8681666666666666,False,False
chef,A1__person__Neuroticism__L4,A1,person,Neuroticism,L4,0.05,0.0,0.05,0.025,0.085,0.030000000000000002,0.16783333333333333,True,False
chef,A1__person__Neuroticism__L5,A1,person,Neuroticism,L5,0.06,0.0,0.06,0.03,0.095,0.0325,0.07716666666666669,True,False
chef,A1__chef__Openness__L1,A1,chef,Openness,L1,0.045,0.0,0.045,0.02,0.08,0.03,0.3398333333333333,True,False
chef,A1__chef__Openness__L2,A1,chef,Openness,L2,0.085,0.0,0.085,0.05,0.12,0.034999999999999996,0.23600000000000004,True,False
chef,A1__chef__Openness__L3,A1,chef,Openness,L3,0.22,0.0,0.22,0.165,0.28,0.05750000000000001,0.32300000000000006,True,False
chef,A1__chef__Openness__L4,A1,chef,Openness,L4,0.19,0.0,0.19,0.135,0.25,0.057499999999999996,0.4926666666666667,True,False
chef,A1__chef__Openness__L5,A1,chef,Openness,L5,0.105,0.0,0.105,0.06,0.15,0.045,0.43566666666666665,True,False
chef,A1__chef__Conscientiousness__L1,A1,chef,Conscientiousness,L1,0.065,0.0,0.065,0.035,0.1,0.0325,0.14716666666666664,True,False
chef,A1__chef__Conscientiousness__L2,A1,chef,Conscientiousness,L2,0.08,0.0,0.08,0.045,0.115,0.035,0.16883333333333334,True,False
chef,A1__chef__Conscientiousness__L3,A1,chef,Conscientiousness,L3,0.175,0.0,0.175,0.12,0.225,0.052500000000000005,0.16233333333333333,True,False
chef,A1__chef__Conscientiousness__L4,A1,chef,Conscientiousness,L4,0.16,0.0,0.16,0.115,0.215,0.049999999999999996,0.2718333333333333,True,False
chef,A1__chef__Conscientiousness__L5,A1,chef,Conscientiousness,L5,0.215,0.0,0.215,0.16,0.275,0.05750000000000001,0.31166666666666665,True,False
chef,A1__chef__Extraversion__L1,A1,chef,Extraversion,L1,0.105,0.0,0.105,0.065,0.15,0.042499999999999996,0.4091666666666667,True,False
chef,A1__chef__Extraversion__L2,A1,chef,Extraversion,L2,0.095,0.0,0.095,0.055,0.14,0.04250000000000001,0.316,True,False
chef,A1__chef__Extraversion__L3,A1,chef,Extraversion,L3,0.12,0.0,0.12,0.08,0.165,0.0425,0.31233333333333335,True,False
chef,A1__chef__Extraversion__L4,A1,chef,Extraversion,L4,0.09,0.0,0.09,0.055,0.13012499999999988,0.03756249999999994,0.4418333333333332,True,False
chef,A1__chef__Extraversion__L5,A1,chef,Extraversion,L5,0.12,0.0,0.12,0.075,0.17,0.04750000000000001,0.3118333333333333,True,False
chef,A1__chef__Agreeableness__L1,A1,chef,Agreeableness,L1,0.045,0.0,0.045,0.02,0.075,0.027499999999999997,0.182,True,False
chef,A1__chef__Agreeableness__L2,A1,chef,Agreeableness,L2,0.105,0.0,0.105,0.065,0.145,0.039999999999999994,0.15616666666666665,True,False
chef,A1__chef__Agreeableness__L3,A1,chef,Agreeableness,L3,0.145,0.0,0.145,0.09987500000000002,0.195,0.047562499999999994,0.175,True,False
chef,A1__chef__Agreeableness__L4,A1,chef,Agreeableness,L4,0.11,0.0,0.11,0.07,0.155,0.042499999999999996,0.43533333333333324,True,False
chef,A1__chef__Agreeableness__L5,A1,chef,Agreeableness,L5,0.11,0.0,0.11,0.07,0.15,0.039999999999999994,0.22766666666666668,True,False
chef,A1__chef__Neuroticism__L1,A1,chef,Neuroticism,L1,0.085,0.0,0.085,0.045,0.125,0.04,0.44699999999999995,True,False
chef,A1__chef__Neuroticism__L2,A1,chef,Neuroticism,L2,0.11,0.0,0.11,0.07,0.155,0.042499999999999996,0.4713333333333332,True,False
chef,A1__chef__Neuroticism__L3,A1,chef,Neuroticism,L3,0.145,0.0,0.145,0.1,0.195,0.0475,0.4624999999999999,True,False
chef,A1__chef__Neuroticism__L4,A1,chef,Neuroticism,L4,0.07,0.0,0.07,0.035,0.105,0.034999999999999996,0.13399999999999998,True,False
chef,A1__chef__Neuroticism__L5,A1,chef,Neuroticism,L5,0.11,0.0,0.11,0.065,0.16,0.0475,0.06866666666666665,True,False
chef,A1__pirate__Openness__L1,A1,pirate,Openness,L1,0.03,0.0,0.03,0.01,0.055,0.0225,0.5158333333333334,False,False
chef,A1__pirate__Openness__L2,A1,pirate,Openness,L2,0.02,0.0,0.02,0.005,0.045,0.02,0.6561666666666668,False,False
chef,A1__pirate__Openness__L3,A1,pirate,Openness,L3,0.035,0.0,0.035,0.01,0.065,0.0275,0.7236666666666667,False,False
chef,A1__pirate__Openness__L4,A1,pirate,Openness,L4,0.03,0.0,0.03,0.01,0.055,0.0225,0.8271666666666666,False,False
chef,A1__pirate__Openness__L5,A1,pirate,Openness,L5,0.05,0.0,0.05,0.025,0.08,0.0275,0.7769999999999999,False,False
chef,A1__pirate__Conscientiousness__L1,A1,pirate,Conscientiousness,L1,0.015,0.0,0.015,0.0,0.035,0.0175,0.3083333333333334,True,False
chef,A1__pirate__Conscientiousness__L2,A1,pirate,Conscientiousness,L2,0.03,0.0,0.03,0.01,0.055,0.0225,0.37883333333333324,True,False
chef,A1__pirate__Conscientiousness__L3,A1,pirate,Conscientiousness,L3,0.06,0.0,0.06,0.03,0.095,0.0325,0.5121666666666667,False,False
chef,A1__pirate__Conscientiousness__L4,A1,pirate,Conscientiousness,L4,0.065,0.0,0.065,0.035,0.1,0.0325,0.5445,False,False
chef,A1__pirate__Conscientiousness__L5,A1,pirate,Conscientiousness,L5,0.05,0.0,0.05,0.025,0.08012499999999989,0.027562499999999945,0.5604999999999999,False,False
chef,A1__pirate__Extraversion__L1,A1,pirate,Extraversion,L1,0.02,0.0,0.02,0.005,0.04,0.0175,0.41933333333333334,True,False
chef,A1__pirate__Extraversion__L2,A1,pirate,Extraversion,L2,0.04,0.0,0.04,0.015,0.07,0.027500000000000004,0.3449999999999999,True,False
chef,A1__pirate__Extraversion__L3,A1,pirate,Extraversion,L3,0.0,0.0,0.0,0.0,0.0,0.0,0.7369999999999999,False,True
chef,A1__pirate__Extraversion__L4,A1,pirate,Extraversion,L4,0.02,0.0,0.02,0.0,0.04,0.02,0.7303333333333334,False,False
chef,A1__pirate__Extraversion__L5,A1,pirate,Extraversion,L5,0.045,0.0,0.045,0.02,0.075,0.027499999999999997,0.39233333333333326,True,False
chef,A1__pirate__Agreeableness__L1,A1,pirate,Agreeableness,L1,0.02,0.0,0.02,0.0,0.045,0.0225,0.46449999999999997,True,False
chef,A1__pirate__Agreeableness__L2,A1,pirate,Agreeableness,L2,0.01,0.0,0.01,0.0,0.025,0.0125,0.49866666666666654,True,False
chef,A1__pirate__Agreeableness__L3,A1,pirate,Agreeableness,L3,0.03,0.0,0.03,0.01,0.055,0.0225,0.7108333333333333,False,False
chef,A1__pirate__Agreeableness__L4,A1,pirate,Agreeableness,L4,0.035,0.0,0.035,0.01,0.065,0.0275,0.7858333333333333,False,False
chef,A1__pirate__Agreeableness__L5,A1,pirate,Agreeableness,L5,0.02,0.0,0.02,0.005,0.04,0.0175,0.46416666666666667,True,False
chef,A1__pirate__Neuroticism__L1,A1,pirate,Neuroticism,L1,0.005,0.0,0.005,0.0,0.015,0.0075,0.8043333333333333,False,False
chef,A1__pirate__Neuroticism__L2,A1,pirate,Neuroticism,L2,0.035,0.0,0.035,0.01,0.06,0.024999999999999998,0.8236666666666667,False,False
chef,A1__pirate__Neuroticism__L3,A1,pirate,Neuroticism,L3,0.015,0.0,0.015,0.0,0.035,0.0175,0.7463333333333333,False,False
chef,A1__pirate__Neuroticism__L4,A1,pirate,Neuroticism,L4,0.02,0.0,0.02,0.005,0.04,0.0175,0.31816666666666665,True,False
chef,A1__pirate__Neuroticism__L5,A1,pirate,Neuroticism,L5,0.03,0.0,0.03,0.01,0.055,0.0225,0.19999999999999998,True,False
chef,A1__child__Openness__L1,A1,child,Openness,L1,0.02,0.0,0.02,0.005,0.045,0.02,0.41633333333333333,True,False
chef,A1__child__Openness__L2,A1,child,Openness,L2,0.025,0.0,0.025,0.005,0.05,0.022500000000000003,0.3291666666666667,True,False
